institution,grant,amount,role,start,end,status
Indiana Department of Education,Indiana Governor's Emergency Education Relief Grant,"$1,179,000 ",Primary Investigator,2020,2022,active
IUPUI Institute for Integrative AI,Collaborative Research Grant,"$17,000 ",Primary Investigator,2020,2021,active
